,feature,coef,abs_coef
8,Gr Liv Area,24095.700940483857,24095.700940483857
185,Kitchen Qual_Ex,23847.440797784802,23847.440797784802
150,Bsmt Qual_Ex,18516.32062807825,18516.32062807825
47,Neighborhood_NridgHt,17397.10014888756,17397.10014888756
162,Bsmt Exposure_Gd,15177.173104569147,15177.173104569147
141,Exter Qual_Ex,14577.094016323917,14577.094016323917
46,Neighborhood_NoRidge,13415.796923146467,13415.796923146467
35,Neighborhood_Crawfor,11487.809498604334,11487.809498604334
11,Overall Qual,9065.137908844117,9065.137908844117
6,Total Bsmt SF,8556.796445371798,8556.796445371798
53,Neighborhood_StoneBr,8412.946600277228,8412.946600277228
172,BsmtFin Type 1_Unf,-8173.794790940899,8173.794790940899
168,BsmtFin Type 1_GLQ,8161.067387998679,8161.067387998679
0,Year Built,7903.657503594165,7903.657503594165
86,Exterior 1st_BrkFace,7885.435062797162,7885.435062797162
134,Sale Type_New,6453.636935372299,6453.636935372299
65,Bldg Type_1Fam,6416.285447523971,6416.285447523971
9,Garage Area,5685.335824373029,5685.335824373029
21,Land Contour_HLS,5645.181993061723,5645.181993061723
56,Condition 1_Artery,-5021.194825871161,5021.194825871161
12,Overall Cond,4660.814965006236,4660.814965006236
165,Bsmt Exposure_No,-4229.322369331852,4229.322369331852
192,Fireplace Qu_NA,-4063.8914296731523,4063.8914296731523
52,Neighborhood_Somerst,3408.125911174846,3408.125911174846
67,Bldg Type_Duplex,-3350.513109766078,3350.513109766078
117,Foundation_PConc,3155.819815655001,3155.819815655001
19,MS Zoning_RM,-2921.0036103557463,2921.0036103557463
144,Exter Qual_TA,-2876.847277280583,2876.847277280583
195,Garage Finish_Fin,2721.2840418746573,2721.2840418746573
66,Bldg Type_2fmCon,2600.7058120743222,2600.7058120743222
89,Exterior 1st_HdBoard,-2550.92959065501,2550.92959065501
198,Garage Finish_Unf,-2521.859460882558,2521.859460882558
128,Sale Type_COD,-2512.539247102747,2512.539247102747
36,Neighborhood_Edwards,-2479.0828975342133,2479.0828975342133
163,Bsmt Exposure_Mn,-2248.2276756643673,2248.2276756643673
1,Year Remod/Add,2059.2227886897413,2059.2227886897413
191,Fireplace Qu_Gd,1949.1877808114255,1949.1877808114255
180,Heating QC_Ex,1886.2610530468387,1886.2610530468387
34,Neighborhood_CollgCr,-1713.3501776123132,1713.3501776123132
58,Condition 1_Norm,1713.04910810986,1713.04910810986
166,BsmtFin Type 1_ALQ,1347.5292654351463,1347.5292654351463
92,Exterior 1st_Plywood,-1323.0838108529988,1323.0838108529988
51,Neighborhood_SawyerW,-1292.4322363100196,1292.4322363100196
136,Sale Type_WD ,-1206.9616292537733,1206.9616292537733
5,Garage Cars,1201.563865206666,1201.563865206666
169,BsmtFin Type 1_LwQ,-1100.6424446165101,1100.6424446165101
2,Full Bath,-1100.2459983216713,1100.2459983216713
184,Heating QC_TA,-1080.5279431722843,1080.5279431722843
24,Lot Config_Corner,896.7437331072199,896.7437331072199
105,Exterior 2nd_Plywood,-802.7663794693339,802.7663794693339
