Id,SalePrice
2505,176400
1805,265000
2330,457347
1681,128000
1277,127500
52,199500
1632,170000
2001,153500
1493,137500
2815,163990
2682,110000
2826,145000
1228,112900
603,140000
2203,141500
1319,122000
935,121000
1765,410000
1194,147000
2929,170000
543,224243
2503,268000
108,206000
498,340000
2633,120000
2574,143000
2830,130000
2659,87000
2403,279000
1306,65000
1376,127500
2323,270000
770,139000
974,91000
1305,107900
195,134000
1375,134432
2914,73000
1467,207000
1562,250000
1123,182000
844,204000
2634,105000
490,156000
696,66500
1998,185000
1415,107500
2173,110000
2753,194000
2105,203000
2277,281213
1384,120000
231,85000
2229,198000
1318,128000
2058,119900
196,128000
2278,147000
894,118000
940,147000
497,327000
1078,155000
1345,162900
2594,127000
840,207000
146,167500
781,63900
2386,326000
1492,108000
283,113000
2628,119000
732,137000
1968,141000
1354,162500
1713,245700
2081,118000
870,220000
1938,115000
2461,198600
240,128000
428,398800
987,130000
2850,160000
619,167000
2166,168675
591,167900
634,149500
558,122000
1519,136500
2506,197000
1164,146000
1218,141000
1596,129500
1616,225000
2381,342643
1547,55000
2144,117000
1575,293077
2848,137000
613,174500
1436,215700
76,143000
1358,161000
2729,130000
2671,100000
2745,93000
1258,86900
307,55993
2138,134900
1905,112000
1554,13100
596,117500
1683,142500
930,158000
416,148500
362,174000
2142,122000
1410,235000
2690,52500
1961,102000
2724,145000
277,144000
1648,213000
338,136000
1600,98000
2613,159500
1260,106250
1892,161000
2637,107000
685,132500
2649,105000
882,190000
197,132000
1036,111900
1926,116000
1572,241500
1803,261329
887,100000
1582,180000
711,91300
1505,91900
2583,156000
1124,226700
57,185088
1417,79000
449,445000
1310,132000
2052,118500
874,219500
915,155000
1625,176000
851,203000
301,289000
305,68400
815,113722
877,213000
2907,153500
1842,164700
1831,171000
810,147983
2394,298236
392,158000
1669,123000
2286,85500
1462,300000
1486,85000
489,190000
475,188500
2051,115400
232,128000
91,190000
1088,190000
1127,339750
801,156500
2833,130000
245,178000
2186,111000
2176,148000
2189,108500
363,173000
850,187100
1884,145000
2111,175900
1255,89900
439,335000
1207,135750
414,137900
1960,119000
1676,113500
2878,139000
878,144000
550,184000
514,468000
2363,97500
1455,237000
160,162000
1836,166000
1925,174850
2222,219500
1398,144000
2879,108000
2464,266000
87,122000
2497,135000
1082,219990
1337,120000
1839,194000
520,229800
2791,222000
300,162500
2131,190550
2803,133000
129,172500
2139,130000
50,205000
2746,91500
1890,117600
2687,220000
319,269500
1719,207000
1727,200000
2037,161000
2238,75200
396,128000
1735,179540
1619,169000
855,134900
1886,124000
2114,277000
2891,171000
2276,392000
1295,122250
23,216000
1105,290000
2866,199500
1975,132000
2705,157000
2129,235500
2760,294900
1459,222500
1225,119000
2598,108480
2062,129000
2761,209700
1521,130000
826,239000
2618,277500
155,107500
2609,165000
2101,279500
2910,127000
1084,159895
2429,264561
1130,230348
2329,275000
1208,155000
1566,213000
794,125000
1427,395039
1326,97000
2384,293000
1320,116900
707,93000
124,180500
224,158000
432,451950
1323,184000
2096,220000
130,116500
385,263435
2068,165250
956,137500
524,310000
1003,180000
2580,153000
2794,275000
2775,217000
2579,141000
2389,300000
1434,145000
980,88000
374,215000
1034,133000
2126,147900
2735,225000
1899,101800
372,181000
2426,167240
563,123000
151,122500
911,105000
671,143500
1090,188000
1783,147000
1285,73000
998,177900
1416,125000
1316,161000
2206,164000
2568,98600
2883,78000
679,90000
2343,202500
2413,169985
1613,167000
1060,460000
2720,172500
2930,188000
674,157500
1634,182000
1379,157500
2049,130000
1396,145000
2438,215000
1647,176000
510,287090
767,103600
2425,225000
1972,125500
1134,192500
1821,132000
698,129000
1609,137500
2581,134450
269,143750
1690,345474
2737,235000
854,140000
2107,194000
1162,178000
2044,50000
1970,187000
41,220000
807,131000
992,206900
2627,93500
2918,87550
1198,135000
751,155000
32,88000
871,203000
2020,127500
1790,249000
164,166000
1422,225000
2127,123600
254,320000
2007,128250
2666,125000
1913,158500
2536,138500
902,112000
2151,267000
1107,341000
2851,138887
2875,72000
1621,251000
229,328000
2258,170000
2600,86900
2644,110000
478,189500
1284,143000
2028,136000
839,212000
1753,211000
2432,183200
2900,312500
1620,161500
843,197900
394,148500
2899,202000
65,221000
26,142000
376,200000
2133,226000
2672,140200
2287,106500
1520,168000
1637,349265
1268,94000
884,170000
251,206000
866,261500
1166,179400
2172,122000
1479,218836
1608,160000
1979,99900
2115,207000
669,163000
1663,139000
1680,122500
1581,184000
1296,120000
922,160000
759,135000
2208,139000
1704,317000
1804,253000
2450,350000
1532,149000
1087,193000
990,176500
1019,175500
2437,172400
1763,248000
470,175900
2087,136500
2692,116500
1464,224900
316,220000
2852,149000
1085,187687
2622,109500
1552,99500
190,122500
2211,145000
1688,322400
641,153000
2521,190000
1580,150000
278,64000
281,90000
755,149000
2545,185900
1248,130000
456,230000
547,171500
2674,159000
1224,141500
2398,372397
2175,133500
2230,200624
1782,255000
2431,192140
2567,172000
268,224900
2375,145000
287,128000
846,200000
2798,210900
1779,282922
1480,193000
988,196000
719,119000
2525,170000
244,84900
1666,155000
1660,197900
2913,146500
1031,205000
1282,167900
889,159500
247,218000
962,201000
1870,255000
2368,116000
1041,100000
2834,97900
2688,129000
2920,90500
1897,181900
2813,198000
2109,217000
2083,150000
1902,39300
2257,330000
2857,112000
504,263550
1800,310013
364,225000
469,174000
1352,207000
346,270000
312,201000
54,192000
812,118858
2420,210250
1039,181000
2773,156000
430,404000
1698,380000
1420,260000
318,174000
706,129500
903,110000
635,139000
907,159434
2827,140000
121,159000
169,155000
651,95000
1537,257076
1655,192350
1962,129000
1877,156000
1885,120000
1949,128500
2776,214000
1729,176000
604,177625
1900,124000
1744,226500
2640,156500
2293,153500
1278,130000
1324,110000
1723,280000
718,160000
2837,81000
560,129000
1739,166000
2535,157500
2744,123500
2882,115000
1451,110000
2604,105000
2572,135000
666,78500
1959,143000
1701,418000
1824,143900
2404,185850
1221,52000
586,256900
1141,163000
1179,245500
2187,98500
2880,51689
2927,131000
476,200000
1929,130000
1299,95000
1152,135000
2233,141000
1094,226750
1597,105000
317,179781
2047,126000
1911,126000
1360,93850
581,185000
546,189000
1534,198000
1212,145000
260,150000
1079,154000
829,221800
1574,294000
1914,114500
2160,185000
779,148000
1774,263000
2140,120000
977,160000
2374,146300
819,323262
2194,119000
1298,78000
1262,139000
1843,176500
2177,141000
1438,193000
684,138000
2710,164500
553,82000
1026,185000
29,184000
2034,127000
2562,137900
1155,142000
1111,235128
153,109000
145,142000
813,142953
762,88750
787,139600
691,109500
1801,249700
1549,120500
2167,167000
201,109500
1242,139000
2860,230000
2406,202500
975,130000
1160,196000
472,181000
139,135000
2197,165000
689,145000
2912,126500
1893,158000
1200,299800
274,84900
1956,135000
2476,184000
2630,146000
2243,119600
2039,101000
1539,311500
2586,155000
994,165000
838,231500
2371,89000
638,153000
2510,144152
1716,194700
1514,98000
2013,113000
995,195500
154,105000
402,130000
2607,160000
406,97000
62,260400
588,163000
2065,187000
2225,215000
912,135000
279,125200
1173,160000
1599,152500
1226,141500
2759,260000
1381,145000
1424,177439
590,230000
2319,250000
2326,176500
2121,126000
2385,415000
2217,220000
2455,252000
177,119000
225,137250
2823,196500
2428,213490
144,148000
1067,284000
728,44000
931,158500
2782,132500
2501,334000
649,145500
527,241000
1273,155000
2021,102000
2369,91500
2240,67000
946,57625
981,131900
485,257500
119,143000
1622,160000
2693,72000
1740,177594
1401,245000
1589,209200
173,115000
132,128000
19,141000
2033,202500
64,290000
1473,214000
1350,68500
1607,134500
378,187500
199,123900
2327,130000
1833,302000
2807,195000
2132,217500
2154,211000
1950,64500
2489,144000
916,177000
2714,149500
2469,176000
2141,112500
357,178000
2113,176432
1300,115000
473,180000
51,175500
2440,173000
1516,135900
67,221500
379,184000
1110,301500
2409,310090
250,245350
865,236500
2102,200141
949,240000
648,113000
1339,105000
1338,157000
896,120000
2260,231713
2712,142500
881,190000
176,80000
657,149000
389,167900
2353,172000
2008,144000
2664,114504
2524,146500
1873,175500
2364,190000
1577,172500
562,62383
2434,201490
2237,150909
1772,290000
109,130500
1288,111000
811,118858
2548,157500
1602,113000
417,138000
633,176000
1793,221300
384,240900
1006,188000
1919,142100
1495,147000
9,236500
400,124500
650,102900
1168,300000
1308,139500
2772,193000
273,185500
1564,300000
1404,177000
2556,85500
1223,87000
2615,129900
1813,179000
2475,158000
914,137450
2313,170000
2390,275500
2654,61500
2152,228000
2752,183600
1054,446261
875,191000
955,152000
828,200000
1603,128500
2924,160000
1367,125000
2498,129200
1140,182000
2077,109900
344,345000
1626,204000
187,76500
425,325000
969,425000
1860,181500
572,180000
2477,184900
133,153000
2566,119000
744,105000
1477,185900
356,191000
2471,139500
1857,218000
48,320000
2014,126000
1265,148000
162,132000
897,98000
622,147000
863,250000
2881,35311
938,315000
484,236000
243,114000
1806,340000
1187,183000
2559,161000
1827,125500
1932,128600
2472,186800
2202,148500
420,148800
526,252000
1363,120000
1928,163500
771,172500
1210,174900
1745,185485
280,107000
1501,82000
1771,290000
2903,359900
1789,225000
56,216500
2112,191000
876,178000
2372,108000
2380,412083
382,152000
1028,292500
1378,129500
2599,68000
2084,86000
371,260000
264,318000
2190,110000
1046,111750
1073,274000
349,168500
2595,112000
782,161500
1275,112500
1933,125000
1395,108000
1089,176000
1710,350000
2334,361919
320,214900
921,177500
1788,260000
742,133000
1635,212000
399,120500
1037,123000
1924,120000
2267,204000
1815,179200
2200,146500
1391,185000
1576,264966
1700,440000
8,191500
487,167000
120,128950
2896,176000
637,120000
2528,250000
2904,81500
752,179900
2104,276000
2108,195400
1057,417500
1365,127000
701,94550
862,133000
2926,142500
1192,240000
1705,319500
1351,127000
249,147000
1432,155000
2082,80000
183,105900
539,184900
705,93000
2799,227000
2835,92000
2436,180000
1197,142600
1659,175000
2355,184500
2504,262000
242,308030
234,230000
2388,309000
1100,315000
2541,190000
983,165500
2227,170000
172,109500
523,238500
601,118000
709,45000
2810,195800
1808,147000
1390,144900
1784,235876
248,236000
1585,195000
140,214000
1837,193800
142,165500
1811,201000
309,246000
730,149000
1126,250000
2474,142500
2311,183500
426,256300
513,253000
1052,426000
1176,170000
917,145000
1013,387000
1370,82375
1238,136500
623,124000
1840,207500
2804,155900
1177,200000
883,173500
2332,356383
668,154000
2015,132000
2236,100000
1488,123000
1591,146000
1758,162000
802,316600
30,96000
2783,157500
1437,207500
1590,206300
1215,140000
1118,257000
1136,159000
841,145000
