MS SubClass,MS Zoning,Lot Shape,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Exterior 1st,Exterior 2nd,Mas Vnr Type,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating QC,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Fence,Sale Type,SalePrice
60,RL,IR1,Lvl,CulDSac,Sawyer,RRAe,1Fam,2Story,6,8,1976,2005,Gable,HdBoard,Plywood,BrkFace,Gd,TA,CBlock,TA,TA,No,GLQ,Unf,725.0,Ex,725,1479,2,Gd,6,NA,Attchd,1976.0,RFn,2.0,475.0,TA,NA,WD ,130500
60,RL,IR1,Lvl,CulDSac,SawyerW,Norm,1Fam,2Story,7,5,1996,1997,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,913.0,Ex,913,2122,2,Gd,8,TA,Attchd,1997.0,RFn,2.0,559.0,TA,NA,WD ,220000
20,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,GLQ,Unf,1057.0,TA,1057,1057,1,Gd,5,NA,Detchd,1953.0,Unf,1.0,246.0,TA,NA,WD ,109000
60,RL,Reg,Lvl,Inside,Timber,Norm,1Fam,2Story,5,5,2006,2007,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,384.0,Gd,744,1444,2,TA,7,NA,BuiltIn,2007.0,Fin,2.0,400.0,TA,NA,WD ,174000
50,RL,IR1,Lvl,Inside,SawyerW,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,Wd Sdng,Plywood,None,TA,TA,PConc,Fa,Gd,No,Unf,Unf,676.0,TA,831,1445,2,TA,6,NA,Detchd,1957.0,Unf,2.0,484.0,TA,NA,WD ,138500
180,RM,Reg,Lvl,Inside,Edwards,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,Gd,GLQ,Unf,547.0,Gd,1072,1072,2,TA,5,NA,Basment,2005.0,Fin,2.0,525.0,TA,NA,New,140000
20,RL,IR1,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,1188.0,Fa,1188,1188,1,TA,6,NA,Attchd,1959.0,RFn,2.0,531.0,TA,MnPrv,COD,142000
60,RL,IR1,HLS,Inside,NAmes,Norm,1Fam,2Story,5,5,1969,1969,Gable,Plywood,Plywood,BrkFace,TA,TA,PConc,Gd,TA,Av,Rec,Unf,1040.0,TA,1040,2080,1,Fa,9,TA,Attchd,1969.0,Unf,2.0,504.0,TA,NA,WD ,135000
160,RM,Reg,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,5,1971,1971,Gable,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,ALQ,Unf,483.0,TA,483,987,1,TA,4,NA,Detchd,1971.0,Unf,1.0,264.0,TA,NA,COD,85400
20,RL,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,5,2005,2005,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,1208.0,Ex,1208,1208,2,Gd,6,NA,Attchd,2005.0,RFn,2.0,632.0,TA,NA,WD ,183600
