date,trap,lat,long,station,accuracy,species_ERRATICUS,species_PIPIENS,species_PIPIENS/RESTUANS,species_RESTUANS,species_SALINARIUS,species_TARSALIS,species_TERRITANS,num_mos,wnv,sprayed_100m,sprayed_500m,sprayed_1000m,wnv_binary,sprayed_100m_binary,sprayed_500m_binary,sprayed_1000m_binary,sprayed_10m,sprayed_30m,sprayed_50m,sprayed_10m_binary,sprayed_30m_binary,sprayed_50m_binary
2011-06-10,T003,41.964242,-87.757639,1,8,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T013,41.923738,-87.785288,2,9,0,0,1,0,0,0,0,1,0,0,39,222,0,0,1,1,0,0,0,0,0,0
2011-06-10,T013,41.923738,-87.785288,2,9,0,0,0,1,0,0,0,1,0,0,39,222,0,0,1,1,0,0,0,0,0,0
2011-06-10,T017,41.960615999999995,-87.777189,1,9,0,0,0,1,0,0,0,2,0,1,63,196,0,1,1,1,0,0,0,0,0,0
2011-06-10,T018,42.010412,-87.66214000000002,2,8,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T018,42.010412,-87.66214000000002,2,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T018,42.010412,-87.66214000000002,2,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T027,41.98480900000001,-87.728492,2,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T027,41.98480900000001,-87.728492,2,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T027,41.98480900000001,-87.728492,2,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T028,41.986921,-87.689778,2,9,0,0,1,0,0,0,0,1,0,2,123,556,0,1,1,1,0,0,0,0,0,0
2011-06-10,T031,41.801497999999995,-87.763416,2,9,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T031,41.801497999999995,-87.763416,2,9,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T031,41.801497999999995,-87.763416,2,9,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T047,41.868142,-87.696269,2,9,0,0,1,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T047,41.868142,-87.696269,2,9,0,0,0,1,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T047,41.868142,-87.696269,2,9,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T049,41.896282,-87.655232,2,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T066,41.77166,-87.703047,2,8,0,0,1,0,0,0,0,4,0,0,44,237,0,0,1,1,0,0,0,0,0,0
2011-06-10,T066,41.77166,-87.703047,2,8,0,0,0,1,0,0,0,4,0,0,44,237,0,0,1,1,0,0,0,0,0,0
2011-06-10,T073,41.773215,-87.60088,2,8,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T074,41.822536,-87.66634300000004,2,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T090,41.868077,-87.666901,2,9,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T090,41.868077,-87.666901,2,9,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T094,41.720848,-87.666014,2,9,0,0,1,0,0,0,0,1,0,0,25,219,0,0,1,1,0,0,0,0,0,0
2011-06-10,T095,41.704336,-87.70373599999998,2,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-06-10,T115,41.673408,-87.599862,2,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
