wetbulb,wetbulb_rolling_14,wetbulb_rolling_14_lag_10,dewpoint,dewpoint_rolling_14,dewpoint_rolling_14_lag_10,tmin,tmin_rolling_14,tmin_rolling_14_lag_10,tavg,tavg_rolling_14,tavg_rolling_14_lag_10,tmax,tmax_rolling_14,tmax_rolling_14_lag_10,species_PIPIENS,species_PIPIENS/RESTUANS,species_RESTUANS,species_SALINARIUS,species_ERRATICUS,species_TARSALIS,species_TERRITANS,ts,ts_rolling_14,ts_rolling_14_lag_7,tsra,tsra_rolling_14,tsra_rolling_14_lag_7,vcts,vcts_rolling_14,vcts_rolling_14_lag_7,ra,ra_rolling_14,ra_rolling_14_lag_7,br,br_rolling_14,br_rolling_14_lag_7,hz,hz_rolling_14,hz_rolling_14_lag_7,preciptotal,preciptotal_rolling_14,preciptotal_rolling_14_lag_7,avgspeed,avgspeed_rolling_14,lat,long,cool,heat,date,wnv
65,58.285714285714285,53.214285714285715,58,49.857142857142854,42.214285714285715,60,57.642857142857146,51.57142857142857,74,68.5,65.35714285714286,88,78.92857142857143,78.5,0,1,0,0,0,0,0,0,0.0,0.0,0,2.0,1.0,0,0.0,1.0,0,8.0,5.0,1,6.0,1.0,1,4.0,2.0,0.0,0.10857142857142858,0.020714285714285737,6.5,9.557142857142852,41.95469,-87.800991,9,0,2007-05-29,0
65,58.285714285714285,53.214285714285715,58,49.857142857142854,42.214285714285715,60,57.642857142857146,51.57142857142857,74,68.5,65.35714285714286,88,78.92857142857143,78.5,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,1.0,0,0.0,1.0,0,8.0,5.0,1,6.0,1.0,1,4.0,2.0,0.0,0.10857142857142858,0.020714285714285737,6.5,9.557142857142852,41.95469,-87.800991,9,0,2007-05-29,0
65,58.285714285714285,53.214285714285715,58,49.857142857142854,42.214285714285715,60,57.642857142857146,51.57142857142857,74,68.5,65.35714285714286,88,78.92857142857143,78.5,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,1.0,0,0.0,1.0,0,8.0,5.0,1,6.0,1.0,1,4.0,2.0,0.0,0.10857142857142858,0.020714285714285737,6.5,9.557142857142852,41.994991,-87.769279,9,0,2007-05-29,0
65,58.285714285714285,53.214285714285715,58,49.857142857142854,42.214285714285715,60,57.642857142857146,51.57142857142857,74,68.5,65.35714285714286,88,78.92857142857143,78.5,0,1,0,0,0,0,0,0,0.0,0.0,0,2.0,1.0,0,0.0,1.0,0,8.0,5.0,1,6.0,1.0,1,4.0,2.0,0.0,0.10857142857142858,0.020714285714285737,6.5,9.557142857142852,41.974089,-87.824812,9,0,2007-05-29,0
65,58.285714285714285,53.214285714285715,58,49.857142857142854,42.214285714285715,60,57.642857142857146,51.57142857142857,74,68.5,65.35714285714286,88,78.92857142857143,78.5,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,1.0,0,0.0,1.0,0,8.0,5.0,1,6.0,1.0,1,4.0,2.0,0.0,0.10857142857142858,0.020714285714285737,6.5,9.557142857142852,41.974089,-87.824812,9,0,2007-05-29,0
66,58.857142857142854,54.642857142857146,59,50.92857142857143,43.714285714285715,65,58.0,53.142857142857146,77,68.71428571428571,67.07142857142857,88,79.0,80.42857142857143,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,2.0,0,0.0,1.0,0,8.0,6.0,1,7.0,2.0,1,5.0,3.0,0.0,0.10857142857142858,0.09285714285714287,7.4,9.328571428571424,41.9216,-87.666455,12,0,2007-05-29,0
66,58.857142857142854,54.642857142857146,59,50.92857142857143,43.714285714285715,65,58.0,53.142857142857146,77,68.71428571428571,67.07142857142857,88,79.0,80.42857142857143,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,2.0,0,0.0,1.0,0,8.0,6.0,1,7.0,2.0,1,5.0,3.0,0.0,0.10857142857142858,0.09285714285714287,7.4,9.328571428571424,41.891118,-87.65449100000001,12,0,2007-05-29,0
66,58.857142857142854,54.642857142857146,59,50.92857142857143,43.714285714285715,65,58.0,53.142857142857146,77,68.71428571428571,67.07142857142857,88,79.0,80.42857142857143,0,1,0,0,0,0,0,0,0.0,0.0,0,2.0,2.0,0,0.0,1.0,0,8.0,6.0,1,7.0,2.0,1,5.0,3.0,0.0,0.10857142857142858,0.09285714285714287,7.4,9.328571428571424,41.867108,-87.654224,12,0,2007-05-29,0
66,58.857142857142854,54.642857142857146,59,50.92857142857143,43.714285714285715,65,58.0,53.142857142857146,77,68.71428571428571,67.07142857142857,88,79.0,80.42857142857143,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,2.0,0,0.0,1.0,0,8.0,6.0,1,7.0,2.0,1,5.0,3.0,0.0,0.10857142857142858,0.09285714285714287,7.4,9.328571428571424,41.867108,-87.654224,12,0,2007-05-29,0
66,58.857142857142854,54.642857142857146,59,50.92857142857143,43.714285714285715,65,58.0,53.142857142857146,77,68.71428571428571,67.07142857142857,88,79.0,80.42857142857143,0,0,1,0,0,0,0,0,0.0,0.0,0,2.0,2.0,0,0.0,1.0,0,8.0,6.0,1,7.0,2.0,1,5.0,3.0,0.0,0.10857142857142858,0.09285714285714287,7.4,9.328571428571424,41.896282,-87.655232,12,0,2007-05-29,0
