date,tmax,tmin,tavg,dewpoint,wetbulb,heat,cool,preciptotal,stnpressure,sealevel,resultspeed,resultdir,avgspeed,bcfg,br,dz,fg,fg+,fu,gr,hz,mifg,ra,sn,sq,ts,tsra,vcfg,vcts
2007-05-01,84,52,68,51,57,0,3,0.0,29.18,29.82,2.7,25,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-02,60,43,52,42,47,13,0,0.0,29.44,30.08,13.3,2,13.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-05-03,67,48,58,40,50,7,0,0.0,29.46,30.12,12.9,6,13.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-05-04,78,51,64,42,50,0,0,0.0,29.36,30.04,10.1,7,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-05,66,54,60,39,50,5,0,0.0,29.46,30.09,11.2,7,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-06,68,52,60,30,46,5,0,0.0,29.62,30.28,13.8,10,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-07,84,50,67,39,53,0,2,0.0,29.44,30.12,8.5,17,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-08,80,60,70,57,63,0,5,0.0,29.36,30.02,2.5,8,5.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-05-09,76,63,70,60,63,0,5,0.02,29.28,29.93,3.9,7,5.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-05-10,83,59,71,52,61,0,6,0.0,29.26,29.91,2.0,9,3.9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-05-11,73,49,61,44,51,4,0,0.0,29.39,30.03,11.7,36,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-12,65,47,56,37,46,9,0,0.0,29.54,30.19,12.7,1,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-13,69,44,57,32,46,8,0,0.0,29.55,30.24,6.4,11,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-14,90,54,72,45,58,0,7,0.0,29.31,29.98,14.1,21,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-15,82,56,69,56,61,0,4,0.6,29.19,29.83,8.1,25,10.8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2007-05-16,64,45,55,42,47,10,0,0.07,29.39,30.03,8.0,36,11.8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-05-17,61,44,53,32,43,12,0,0.0,29.62,30.27,11.7,1,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-18,70,43,57,31,47,8,0,0.0,29.6,30.26,3.4,22,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-19,80,56,68,37,53,0,3,0.0,29.41,30.08,11.1,23,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-20,69,44,57,41,45,8,0,0.11,29.44,30.11,8.6,3,9.7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2007-05-21,79,46,63,50,57,2,0,0.0,29.39,30.05,6.3,10,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-22,87,60,74,44,58,0,9,0.0,29.41,30.05,10.1,16,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-23,89,66,78,48,61,0,13,0.0,29.47,30.1,10.9,18,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-24,88,66,77,53,63,0,12,0.0,29.47,30.1,13.8,20,15.2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2007-05-25,66,57,62,46,53,3,0,0.09,29.57,30.23,4.5,5,8.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-05-26,70,50,60,55,57,5,0,0.28,29.42,30.1,2.5,15,7.8,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2007-05-27,75,59,67,49,57,0,2,0.08,29.41,30.05,8.2,24,9.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2007-05-28,76,54,65,49,57,0,0,0.0,29.49,30.14,4.7,8,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-29,88,65,77,59,66,0,12,0.0,29.44,30.09,5.8,16,7.4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-05-30,89,70,80,57,66,0,15,0.0,29.38,30.03,9.7,17,10.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2007-05-31,80,68,74,61,66,0,9,0.53,29.34,29.99,8.9,18,9.2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
